Requestbody,Encrypted_data
"{""reqRefNo"": ""ae81ca6b-e527-4201-aaae-1c861a517f06"", ""rrn"": ""421312"", ""txnAmt"": ""169"", ""txnTimestamp"": ""1700741921"", ""timeStamp"": 1705643830, ""deviceId"": 100259}",VSpCIOGSI3DX/16OsQcKNI4BBll8KJz+sOeeNDgX1QObr60HC2Y1TX87hMaJCR0qyYyFXNDkJD9IC20WijlDK9hFmWoZFy7ZmBm+pcxnyymiZ3LC15j4f0Yoij6049rCt2rqOaU+aHPQ09kTKnZjxPZY2NkVwp20UGYd4i9546RrEr6pBJ2137YotBACANgXe/qTkRmw2tM6x4pztL3mve3kzjufWAHsZaRxHKHCjjy0
"{""reqRefNo"": ""ae81ca6b-e527-4201-aaae-1c861a517f06"", ""rrn"": ""421312"", ""txnAmt"": ""142"", ""txnTimestamp"": ""1700741921"", ""timeStamp"": 1705643830, ""deviceId"": 100259}",VSpCIOGSI3DX/16OsQcKNI4BBll8KJz+sOeeNDgX1QObr60HC2Y1TX87hMaJCR0qyYyFXNDkJD9IC20WijlDK9hFmWoZFy7ZmBm+pcxnyymiZ3DJ15j4f0Yoij6049rCt2rqOaU+aHPQ09kTKnZjxPZY2NkVwp20UGYd4i9546RrEr6pBJ2137YotBACANgXe/qTkRmw2tM6x4pztL3mve19IKB/TaRMc/ne6InaKmUJ
"{""reqRefNo"": ""ae81ca6b-e527-4201-aaae-1c861a517f06"", ""rrn"": ""421312"", ""txnAmt"": ""253"", ""txnTimestamp"": ""1700741921"", ""timeStamp"": 1705643830, ""deviceId"": 100259}",VSpCIOGSI3DX/16OsQcKNI4BBll8KJz+sOeeNDgX1QObr60HC2Y1TX87hMaJCR0qyYyFXNDkJD9IC20WijlDK9hFmWoZFy7ZmBm+pcxnyymiZHHI15j4f0Yoij6049rCt2rqOaU+aHPQ09kTKnZjxPZY2NkVwp20UGYd4i9546RrEr6pBJ2137YotBACANgXe/qTkRmw2tM6x4pztL3mve2CTGNzev3AolvSw+BPCkhe
"{""reqRefNo"": ""ae81ca6b-e527-4201-aaae-1c861a517f06"", ""rrn"": ""421312"", ""txnAmt"": ""264"", ""txnTimestamp"": ""1700741921"", ""timeStamp"": 1705643830, ""deviceId"": 100259}",VSpCIOGSI3DX/16OsQcKNI4BBll8KJz+sOeeNDgX1QObr60HC2Y1TX87hMaJCR0qyYyFXNDkJD9IC20WijlDK9hFmWoZFy7ZmBm+pcxnyymiZHLP15j4f0Yoij6049rCt2rqOaU+aHPQ09kTKnZjxPZY2NkVwp20UGYd4i9546RrEr6pBJ2137YotBACANgXe/qTkRmw2tM6x4pztL3mve0nNFV3oGMmgqosEMw8Xiw8
"{""reqRefNo"": ""ae81ca6b-e527-4201-aaae-1c861a517f06"", ""rrn"": ""421312"", ""txnAmt"": ""283"", ""txnTimestamp"": ""1700741921"", ""timeStamp"": 1705643830, ""deviceId"": 100259}",VSpCIOGSI3DX/16OsQcKNI4BBll8KJz+sOeeNDgX1QObr60HC2Y1TX87hMaJCR0qyYyFXNDkJD9IC20WijlDK9hFmWoZFy7ZmBm+pcxnyymiZHzI15j4f0Yoij6049rCt2rqOaU+aHPQ09kTKnZjxPZY2NkVwp20UGYd4i9546RrEr6pBJ2137YotBACANgXe/qTkRmw2tM6x4pztL3mve2g2/TBrRF42RMqZ2DSJrhE
"{""reqRefNo"": ""ae81ca6b-e527-4201-aaae-1c861a517f06"", ""rrn"": ""421312"", ""txnAmt"": ""125"", ""txnTimestamp"": ""1700741921"", ""timeStamp"": 1705643830, ""deviceId"": 100259}",VSpCIOGSI3DX/16OsQcKNI4BBll8KJz+sOeeNDgX1QObr60HC2Y1TX87hMaJCR0qyYyFXNDkJD9IC20WijlDK9hFmWoZFy7ZmBm+pcxnyymiZ3bO15j4f0Yoij6049rCt2rqOaU+aHPQ09kTKnZjxPZY2NkVwp20UGYd4i9546RrEr6pBJ2137YotBACANgXe/qTkRmw2tM6x4pztL3mve02PiNwFuV1Oem/Bbjy/NYv
"{""reqRefNo"": ""ae81ca6b-e527-4201-aaae-1c861a517f06"", ""rrn"": ""421312"", ""txnAmt"": ""151"", ""txnTimestamp"": ""1700741921"", ""timeStamp"": 1705643830, ""deviceId"": 100259}",VSpCIOGSI3DX/16OsQcKNI4BBll8KJz+sOeeNDgX1QObr60HC2Y1TX87hMaJCR0qyYyFXNDkJD9IC20WijlDK9hFmWoZFy7ZmBm+pcxnyymiZ3HK15j4f0Yoij6049rCt2rqOaU+aHPQ09kTKnZjxPZY2NkVwp20UGYd4i9546RrEr6pBJ2137YotBACANgXe/qTkRmw2tM6x4pztL3mve3YHKZEnh1qJOqtbs+WNt+v
"{""reqRefNo"": ""ae81ca6b-e527-4201-aaae-1c861a517f06"", ""rrn"": ""421312"", ""txnAmt"": ""127"", ""txnTimestamp"": ""1700741921"", ""timeStamp"": 1705643830, ""deviceId"": 100259}",VSpCIOGSI3DX/16OsQcKNI4BBll8KJz+sOeeNDgX1QObr60HC2Y1TX87hMaJCR0qyYyFXNDkJD9IC20WijlDK9hFmWoZFy7ZmBm+pcxnyymiZ3bM15j4f0Yoij6049rCt2rqOaU+aHPQ09kTKnZjxPZY2NkVwp20UGYd4i9546RrEr6pBJ2137YotBACANgXe/qTkRmw2tM6x4pztL3mve2+Ah84uLD54C3VXF5VjX2m
"{""reqRefNo"": ""ae81ca6b-e527-4201-aaae-1c861a517f06"", ""rrn"": ""421312"", ""txnAmt"": ""168"", ""txnTimestamp"": ""1700741921"", ""timeStamp"": 1705643830, ""deviceId"": 100259}",VSpCIOGSI3DX/16OsQcKNI4BBll8KJz+sOeeNDgX1QObr60HC2Y1TX87hMaJCR0qyYyFXNDkJD9IC20WijlDK9hFmWoZFy7ZmBm+pcxnyymiZ3LD15j4f0Yoij6049rCt2rqOaU+aHPQ09kTKnZjxPZY2NkVwp20UGYd4i9546RrEr6pBJ2137YotBACANgXe/qTkRmw2tM6x4pztL3mve1B0CW7DysqCUZEMFKRNulw
"{""reqRefNo"": ""ae81ca6b-e527-4201-aaae-1c861a517f06"", ""rrn"": ""421312"", ""txnAmt"": ""268"", ""txnTimestamp"": ""1700741921"", ""timeStamp"": 1705643830, ""deviceId"": 100259}",VSpCIOGSI3DX/16OsQcKNI4BBll8KJz+sOeeNDgX1QObr60HC2Y1TX87hMaJCR0qyYyFXNDkJD9IC20WijlDK9hFmWoZFy7ZmBm+pcxnyymiZHLD15j4f0Yoij6049rCt2rqOaU+aHPQ09kTKnZjxPZY2NkVwp20UGYd4i9546RrEr6pBJ2137YotBACANgXe/qTkRmw2tM6x4pztL3mve2TvNzERZ4MVjNRxJvve9UI
